cutoff_pi_over_a,feature_id,wavelength_nm,signed_amplitude_pm_per_V,interior_extremum
0.050000000000000003,0,710,4.2727354308303802,0
0.050000000000000003,1,1450,-17.60612220521832,0
0.050000000000000003,2,1450,-2.0589477380881274,0
0.10000000000000001,0,687,30.699330449976223,1
0.10000000000000001,1,1374,-65.855367995650766,1
0.10000000000000001,2,1398,-54.852817602390587,1
0.1125,0,673,33.063696354512388,1
0.1125,1,1346,-71.653156004821909,1
0.1125,2,1376,-57.179152971636711,1
0.125,0,658,35.061658734662046,1
0.125,1,1316,-76.785991523848509,1
0.125,2,1353,-58.992660484434225,1
