half_width_eV,energy_step_eV,region,component,rms_error,max_abs_error,reference_rms,relative_rms_error
8.0,0.001,central,real,0.0017529780518079254,0.004971880763719128,11.469757006115175,0.00015283480294075227
8.0,0.001,central,imag,0.002471022208270075,0.0036270710441925758,11.53332935640744,0.00021425055436375597
8.0,0.001,edge,real,0.0018290131712904241,0.0018737254534464988,0.030007505567782027,0.06095185643335078
8.0,0.001,edge,imag,0.009940084289037133,0.017517810162765213,3.93912649453328e-05,252.3423480518329
16.0,0.001,central,real,0.00046095695685662735,0.0036625315024139127,11.46928683799441,4.01905509355308e-05
16.0,0.001,central,imag,0.0003229621494928721,0.002254757076531888,11.533329232056529,2.8002508468691668e-05
16.0,0.001,edge,real,0.0004554984421790122,0.00046308053774220086,0.006588473137861163,0.06913566051616052
16.0,0.001,edge,imag,0.0023143332319023077,0.003728893488274588,3.7771525620105783e-06,612.7190241609908
32.0,0.001,central,real,0.00018546232404957687,0.0033356634426411347,11.471534206594573,1.6167177006102744e-05
32.0,0.001,central,imag,0.0001538609565288029,0.0020902627812056096,11.535591334463355,1.333793405710663e-05
32.0,0.001,edge,real,0.00011371639227207864,0.00011511487133913185,0.0015928339125317803,0.07139249822433057
32.0,0.001,edge,imag,0.0005682316697726842,0.000864337368658811,4.386058152581081e-07,1295.5406654567375
