photon_energy_eV,chi2_real_pm_per_V,chi2_imag_pm_per_V,chi2_abs_real_pm_per_V,chi2_abs_pm_per_V,KK_real_pm_per_V,KK_imag_pm_per_V
-3.200000000000000000e+01,1.100151755910766006e-03,-2.467546894882974195e-07,1.100151755910766006e-03,1.100151783583255523e-03,1.216577170142810150e-03,3.690582490698551214e-03
-3.199899999999999878e+01,1.100217846652204630e-03,-2.467768942127566234e-07,1.100217846652204630e-03,1.100217874328012239e-03,1.216490543228885461e-03,2.990799452606008810e-03
-3.199800000000000111e+01,1.100283943349681000e-03,-2.467991016016213844e-07,1.100283943349681000e-03,1.100283971028807135e-03,1.216551540092101211e-03,2.990583314785301774e-03
-3.199699999999999989e+01,1.100350046003927169e-03,-2.468213116552989137e-07,1.100350046003927169e-03,1.100350073686372264e-03,1.216569637182998882e-03,2.757677163321033392e-03
-3.199599999999999866e+01,1.100416154615631390e-03,-2.468435243741855168e-07,1.100416154615631390e-03,1.100416182301395878e-03,1.216630641051021956e-03,2.757447009452966297e-03
-3.199500000000000099e+01,1.100482269185546532e-03,-2.468657397586809932e-07,1.100482269185546532e-03,1.100482296874630847e-03,1.216669690818374594e-03,2.617910663799492572e-03
-3.199399999999999977e+01,1.100548389714364750e-03,-2.468879578091883190e-07,1.100548389714364750e-03,1.100548417406769543e-03,1.216730703578232852e-03,2.617672101316025589e-03
-3.199299999999999855e+01,1.100614516202796846e-03,-2.469101785261071877e-07,1.100614516202796846e-03,1.100614543898522767e-03,1.216778739229276273e-03,2.518149008621146240e-03
-3.199200000000000088e+01,1.100680648651573140e-03,-2.469324019098336931e-07,1.100680648651573140e-03,1.100680676350620406e-03,1.216839761690848573e-03,2.517904440277171554e-03
-3.199099999999999966e+01,1.100746787061400965e-03,-2.469546279607720818e-07,1.100746787061400965e-03,1.100746814763770010e-03,1.216892794474109998e-03,2.440609616585926248e-03
-3.198999999999999844e+01,1.100812931432993726e-03,-2.469768566793168592e-07,1.100812931432993726e-03,1.100812959138685416e-03,1.216953827089808319e-03,2.440360377005020877e-03
-3.198900000000000077e+01,1.100879081767081741e-03,-2.469990880658739660e-07,1.100879081767081741e-03,1.100879109476096077e-03,1.217010044021714366e-03,2.377209981189302903e-03
-3.198799999999999955e+01,1.100945238064372344e-03,-2.470213221208453193e-07,1.100945238064372344e-03,1.100945265776710194e-03,1.217071087078506206e-03,2.376956919522639836e-03
-3.198699999999999832e+01,1.101011400325579807e-03,-2.470435588446241542e-07,1.101011400325579807e-03,1.101011428041241604e-03,1.217129511980723612e-03,2.323598244576459415e-03
-3.198600000000000065e+01,1.101077568551427077e-03,-2.470657982376142935e-07,1.101077568551427077e-03,1.101077596270413472e-03,1.217190565678523710e-03,2.323341948598007904e-03
-3.198499999999999943e+01,1.101143742742634497e-03,-2.470880403002175485e-07,1.101143742742634497e-03,1.101143770464945706e-03,1.217250612873148081e-03,2.277163448604024604e-03
-3.198400000000000176e+01,1.101209922899906365e-03,-2.471102850328355188e-07,1.101209922899906365e-03,1.101209950625543039e-03,1.217311677360204385e-03,2.276904349265803512e-03
-3.198300000000000054e+01,1.101276109023978204e-03,-2.471325324358624981e-07,1.101276109023978204e-03,1.101276136752940560e-03,1.217372967895632551e-03,2.236216251034715222e-03
-3.198199999999999932e+01,1.101342301115549975e-03,-2.471547825097047448e-07,1.101342301115549975e-03,1.101342328847839096e-03,1.217434043284858648e-03,2.235954677831404787e-03
-3.198100000000000165e+01,1.101408499175353731e-03,-2.471770352547640699e-07,1.101408499175353731e-03,1.101408526910969618e-03,1.217496317891305496e-03,2.199600855397169669e-03
-3.198000000000000043e+01,1.101474703204082927e-03,-2.471992906714370967e-07,1.101474703204082927e-03,1.101474730943026231e-03,1.217557404273240506e-03,2.199337068409226194e-03
-3.197899999999999920e+01,1.101540913202493036e-03,-2.472215487601287069e-07,1.101540913202493036e-03,1.101540940944764407e-03,1.217620477768019361e-03,2.166491742237944707e-03
-3.197800000000000153e+01,1.101607129171270575e-03,-2.472438095212369001e-07,1.101607129171270575e-03,1.101607156916870230e-03,1.217681575216306416e-03,2.166225951969962850e-03
-3.197700000000000031e+01,1.101673351111135454e-03,-2.472660729551663464e-07,1.101673351111135454e-03,1.101673378860063826e-03,1.217745310731413368e-03,2.136278781552956602e-03
-3.197599999999999909e+01,1.101739579022833170e-03,-2.472883390623147277e-07,1.101739579022833170e-03,1.101739606775091126e-03,1.217806419306647443e-03,2.136011161867355183e-03
-3.197500000000000142e+01,1.101805812907038530e-03,-2.473106078430855493e-07,1.101805812907038530e-03,1.101805840662626289e-03,1.217870712827282030e-03,2.108498302297871514e-03
-3.197400000000000020e+01,1.101872052764498334e-03,-2.473328792978775520e-07,1.101872052764498334e-03,1.101872080523416545e-03,1.217931832582012453e-03,2.108228999215070679e-03
-3.197299999999999898e+01,1.101938298595945068e-03,-2.473551534270941352e-07,1.101938298595945068e-03,1.101938326358194165e-03,1.217996603213788434e-03,2.082789693028000259e-03
-3.197200000000000131e+01,1.102004550402061345e-03,-2.473774302311374278e-07,1.102004550402061345e-03,1.102004578167641762e-03,1.218057734191720694e-03,2.082518830910457409e-03
-3.197100000000000009e+01,1.102070808183589629e-03,-2.473997097104067000e-07,1.102070808183589629e-03,1.102070835952502015e-03,1.218122917778269917e-03,2.058866968675509505e-03
-3.196999999999999886e+01,1.102137071941233781e-03,-2.474219918653040806e-07,1.102137071941233781e-03,1.102137099713478788e-03,1.218184060019638108e-03,2.058594654715113683e-03
-3.196900000000000119e+01,1.102203341675721520e-03,-2.474442766962331809e-07,1.102203341675721520e-03,1.102203369451299365e-03,1.218249604826045608e-03,2.036499509917597938e-03
-3.196799999999999997e+01,1.102269617387777092e-03,-2.474665642035942239e-07,1.102269617387777092e-03,1.102269645166688208e-03,1.218310758363838099e-03,2.036225837458834065e-03
-3.196699999999999875e+01,1.102335899078105228e-03,-2.474888543877901856e-07,1.102335899078105228e-03,1.102335926860350482e-03,1.218376622064490161e-03,2.015498639503191403e-03
-3.196600000000000108e+01,1.102402186747452294e-03,-2.475111472492205478e-07,1.102402186747452294e-03,1.102402214533031903e-03,1.218437786928583226e-03,2.015223690559926964e-03
-3.196499999999999986e+01,1.102468480396490060e-03,-2.475334427882913570e-07,1.102468480396490060e-03,1.102468508185404459e-03,1.218503934454443632e-03,1.995708034200564807e-03
-3.196399999999999864e+01,1.102534780025978337e-03,-2.475557410053993422e-07,1.102534780025978337e-03,1.102534807818228175e-03,1.218565110673562558e-03,1.995431881402032724e-03
-3.196300000000000097e+01,1.102601085636625323e-03,-2.475780419009516087e-07,1.102601085636625323e-03,1.102601113432211252e-03,1.218631512645575047e-03,1.976996728316556332e-03
-3.196199999999999974e+01,1.102667397229153533e-03,-2.476003454753482736e-07,1.102667397229153533e-03,1.102667425028075769e-03,1.218692700243351754e-03,1.976719436426729436e-03
-3.196099999999999852e+01,1.102733714804254254e-03,-2.476226517289927364e-07,1.102733714804254254e-03,1.102733742606513447e-03,1.218759331803008711e-03,1.959253911350502218e-03
-3.196000000000000085e+01,1.102800038362695533e-03,-2.476449606622841614e-07,1.102800038362695533e-03,1.102800066168292117e-03,1.218820530801097103e-03,1.958975538482262638e-03
-3.195899999999999963e+01,1.102866367905162154e-03,-2.476672722756261597e-07,1.102866367905162154e-03,1.102866395714096562e-03,1.218887370728833795e-03,1.942384994621431781e-03
-3.195799999999999841e+01,1.102932703432384868e-03,-2.476895865694247778e-07,1.102932703432384868e-03,1.102932731244657752e-03,1.218948581149617875e-03,1.942105593208853960e-03
-3.195700000000000074e+01,1.102999044945080116e-03,-2.477119035440785446e-07,1.102999044945080116e-03,1.102999072760691909e-03,1.219015611188803503e-03,1.926308592732395557e-03
-3.195599999999999952e+01,1.103065392443979952e-03,-2.477342231999912832e-07,1.103065392443979952e-03,1.103065420262931088e-03,1.219076833049163432e-03,1.926028210322916186e-03
-3.195499999999999829e+01,1.103131745929788673e-03,-2.477565455375656518e-07,1.103131745929788673e-03,1.103131773752079802e-03,1.219144037376308342e-03,1.910954175880797854e-03
-3.195400000000000063e+01,1.103198105403245706e-03,-2.477788705572050499e-07,1.103198105403245706e-03,1.103198133228877262e-03,1.219205270696626254e-03,1.910672855786560518e-03
-3.195299999999999940e+01,1.103264470865046674e-03,-2.478011982593115004e-07,1.103264470865046674e-03,1.103264498694019307e-03,1.219272635513195214e-03,1.896260221743892868e-03
-3.195200000000000173e+01,1.103330842315933605e-03,-2.478235286442875558e-07,1.103330842315933605e-03,1.103330870148247532e-03,1.219333880306763210e-03,1.895978003583554446e-03
-3.195100000000000051e+01,1.103397219756604725e-03,-2.478458617125376744e-07,1.103397219756604725e-03,1.103397247592260598e-03,1.219401393501301587e-03,1.882172744561969036e-03
-3.194999999999999929e+01,1.103463603187813339e-03,-2.478681974644664201e-07,1.103463603187813339e-03,1.103463631026811590e-03,1.219462649783500593e-03,1.881889664717425071e-03
-3.194900000000000162e+01,1.103529992610259840e-03,-2.478905359004766632e-07,1.103529992610259840e-03,1.103530020452600903e-03,1.219530300673652345e-03,1.868644112686444845e-03
-3.194800000000000040e+01,1.103596388024648527e-03,-2.479128770209610032e-07,1.103596388024648527e-03,1.103596415870333053e-03,1.219591568458536007e-03,1.868360204675249738e-03
-3.194699999999999918e+01,1.103662789431736173e-03,-2.479352208263378746e-07,1.103662789431736173e-03,1.103662817280764812e-03,1.219659347567030603e-03,1.855632089248043272e-03
-3.194600000000000151e+01,1.103729196832228809e-03,-2.479575673170050652e-07,1.103729196832228809e-03,1.103729224684601778e-03,1.219720626869816998e-03,1.855347384055057967e-03
-3.194500000000000028e+01,1.103795610226839408e-03,-2.479799164933621627e-07,1.103795610226839408e-03,1.103795638082557141e-03,1.219788525756466653e-03,1.843099047278863286e-03
-3.194399999999999906e+01,1.103862029616296987e-03,-2.480022683558157430e-07,1.103862029616296987e-03,1.103862057475360351e-03,1.219849816588390069e-03,1.842813573632643342e-03
-3.194300000000000139e+01,1.103928455001327094e-03,-2.480246229047701584e-07,1.103928455001327094e-03,1.103928482863736522e-03,1.219917827706279868e-03,1.831011322555542182e-03
-3.194200000000000017e+01,1.103994886382630991e-03,-2.480469801406269025e-07,1.103994886382630991e-03,1.103994914248386701e-03,1.219979130078028152e-03,1.830725107156917298e-03
-3.194099999999999895e+01,1.104061323760970222e-03,-2.480693400637931865e-07,1.104061323760970222e-03,1.104061351630072864e-03,1.220047246640026907e-03,1.819338676128323239e-03
-3.194000000000000128e+01,1.104127767137024364e-03,-2.480917026746701863e-07,1.104127767137024364e-03,1.104127795009474371e-03,1.220108560565357067e-03,1.819051743871095712e-03
-3.193900000000000006e+01,1.104194216511532409e-03,-2.481140679736625719e-07,1.104194216511532409e-03,1.104194244387330650e-03,1.220176776458764371e-03,1.808053845003166618e-03
-3.193799999999999883e+01,1.104260671885230749e-03,-2.481364359611718369e-07,1.104260671885230749e-03,1.104260699764377440e-03,1.220238101944854476e-03,1.807766219140169483e-03
-3.193700000000000117e+01,1.104327133258820211e-03,-2.481588066376065689e-07,1.104327133258820211e-03,1.104327161141315568e-03,1.220306411640224289e-03,1.797132164126446054e-03
-3.193599999999999994e+01,1.104393600633038052e-03,-2.481811800033682614e-07,1.104393600633038052e-03,1.104393628518882944e-03,1.220367748699619425e-03,1.796843866430649023e-03
-3.193499999999999872e+01,1.104460074008585535e-03,-2.482035560588603139e-07,1.104460074008585535e-03,1.104460101897780395e-03,1.220436147172012948e-03,1.786551246551692845e-03
-3.193400000000000105e+01,1.104526553386219433e-03,-2.482259348044867611e-07,1.104526553386219433e-03,1.104526581278764911e-03,1.220497495815152031e-03,1.786262297453283842e-03
-3.193299999999999983e+01,1.104593038766621058e-03,-2.482483162406532259e-07,1.104593038766621058e-03,1.104593066662517371e-03,1.220565978495541382e-03,1.776290711347165881e-03
-3.193199999999999861e+01,1.104659530150554122e-03,-2.482707003677651195e-07,1.104659530150554122e-03,1.104659558049802138e-03,1.220627338729379785e-03,1.776001130053476160e-03
-3.193100000000000094e+01,1.104726027538713382e-03,-2.482930871862247825e-07,1.104726027538713382e-03,1.104726055441313318e-03,1.220695901446037113e-03,1.766331950942167566e-03
