pathway_1,pathway_2,sum_individual_l2_pm_per_V,summed_l2_pm_per_V,retained_l2_fraction,cancellation_fraction
C_m2_n1_l1,V_m2_n1_l2,6.518160488775477,0.0014386528305350872,0.00022071454561643623,0.9997792854543835
C_m1_n1_l1,V_m1_n1_l1,27230.742244662164,78.48069976516574,0.0028820624520637045,0.9971179375479363
C_m2_n2_l2,V_m2_n2_l2,4642.495733666866,877.1480845003377,0.18893891019422093,0.8110610898057791
C_m1_n2_l2,V_m1_n2_l1,226.91769102602706,43.55212401401506,0.19192916963455134,0.8080708303654487
C_m1_n2_l1,C_m1_n2_l2,235.63709351872404,55.61476641512171,0.23601872517029024,0.7639812748297098
C_m2_n1_l2,V_m2_n1_l2,8.999017452521118,2.9380287105337497,0.32648327731719723,0.6735167226828027
V_m1_n2_l1,V_m1_n2_l2,137.7657434548733,46.69911869625625,0.33897482440221477,0.6610251755977852
V_m1_n2_l1,V_m2_n2_l1,139.4279164490718,52.75756899680541,0.37838598137608925,0.6216140186239107
C_m1_n2_l1,V_m1_n2_l2,146.4851459475703,61.131998979314474,0.4173255833133739,0.5826744166866261
C_m1_n2_l1,V_m2_n2_l1,148.1473189417688,66.32166538818396,0.44767374706424856,0.5523262529357514
V_m1_n2_l2,V_m2_n1_l1,70.31837463312898,39.29555452077048,0.5588234188544118,0.4411765811455882
C_m1_n1_l2,C_m1_n2_l2,217.34827559590028,122.29386010082925,0.5626631256472504,0.4373368743527496
C_m1_n1_l2,V_m1_n2_l2,128.19632802474652,74.36863697743955,0.5801151883467655,0.41988481165323455
V_m2_n1_l2,C_m2_n2_l1,10.25459628956196,6.150031453267789,0.5997341367331874,0.40026586326681257
V_m2_n1_l1,V_m2_n2_l1,71.98054762732748,43.977389059440746,0.610962135035837,0.38903786496416304
V_m1_n1_l2,V_m1_n2_l2,69.36143718873949,42.93500193880503,0.6190039260861124,0.38099607391388757
C_m1_n1_l2,V_m2_n2_l1,129.85850101894502,80.75901247511676,0.6219000823314205,0.37809991766857953
C_m2_n1_l2,V_m2_n1_l1,29.97463256597978,19.138134331584567,0.6384776957468269,0.3615223042531731
V_m1_n1_l2,C_m2_n1_l2,29.017695121590283,18.682768369570567,0.6438405356209655,0.35615946437903445
V_m1_n1_l2,V_m2_n2_l1,71.02361018293799,47.22753015621193,0.6649553582895369,0.3350446417104631
V_m2_n1_l1,C_m2_n2_l1,31.23021140302062,21.860496882902723,0.6999791516233013,0.30002084837669873
