wavelength_nm,C_m1_n1_l1_Re_pm_per_V,C_m1_n1_l1_Im_pm_per_V,C_m1_n1_l2_Re_pm_per_V,C_m1_n1_l2_Im_pm_per_V,V_m1_n1_l1_Re_pm_per_V,V_m1_n1_l1_Im_pm_per_V,V_m1_n1_l2_Re_pm_per_V,V_m1_n1_l2_Im_pm_per_V,C_m1_n2_l1_Re_pm_per_V,C_m1_n2_l1_Im_pm_per_V,C_m1_n2_l2_Re_pm_per_V,C_m1_n2_l2_Im_pm_per_V,V_m1_n2_l1_Re_pm_per_V,V_m1_n2_l1_Im_pm_per_V,V_m1_n2_l2_Re_pm_per_V,V_m1_n2_l2_Im_pm_per_V,C_m2_n1_l1_Re_pm_per_V,C_m2_n1_l1_Im_pm_per_V,C_m2_n1_l2_Re_pm_per_V,C_m2_n1_l2_Im_pm_per_V,V_m2_n1_l1_Re_pm_per_V,V_m2_n1_l1_Im_pm_per_V,V_m2_n1_l2_Re_pm_per_V,V_m2_n1_l2_Im_pm_per_V,C_m2_n2_l1_Re_pm_per_V,C_m2_n2_l1_Im_pm_per_V,C_m2_n2_l2_Re_pm_per_V,C_m2_n2_l2_Im_pm_per_V,V_m2_n2_l1_Re_pm_per_V,V_m2_n2_l1_Im_pm_per_V,V_m2_n2_l2_Re_pm_per_V,V_m2_n2_l2_Im_pm_per_V
400,4.9255138002757102,0.021705341046486436,-0.036350149986383751,-0.00016948717798265798,-4.8972041137983418,-0.021580588294829148,-0.008852940509592188,-3.9551928598440595e-05,-0.034555888020898221,-0.00015317353056033464,0.057618740219204038,0.00027014785222752123,-0.039062743357324389,-0.0001831472916615225,0.020684443297759435,9.8443070554066271e-05,0.0012405087602866357,5.5501602419991634e-06,0.0026816175471510162,1.2710379706560883e-05,-0.0087455940284616087,-3.8595603413371697e-05,-0.0012410564778305841,-5.5526107850614857e-06,0.0025460359981684592,1.1457963720502434e-05,1.2435078466555027,0.0059265968981966977,0.020407909001417899,9.582090483069522e-05,-0.84828650205896139,-0.0040429597331504072
401,4.9676054406144861,0.021994368193580173,-0.03667536705224439,-0.00017186895193438986,-4.9390538299055322,-0.021867954241031062,-0.0089294403879613491,-4.0085562849509547e-05,-0.034853998784981861,-0.00015522754813673251,0.058138928126256678,0.00027396886485962118,-0.039415405818070272,-0.00018573775502890927,0.020873480488871426,9.9855742734997473e-05,0.001251253120560025,5.6251714016811685e-06,0.0027059609358224602,1.2891909869349625e-05,-0.0088205060552169756,-3.9110438262696076e-05,-0.0012518055820242172,-5.6276550641614792e-06,0.0025682972517627983,1.1613902021224024e-05,1.2548985647926054,0.0060117855982217043,0.020592582890179702,9.7178505797843859e-05,-0.85605693348040457,-0.0041010730973350595
402,5.0100338988021882,0.022287143074422745,-0.037003409103082176,-0.0001742841717387695,-4.9812384279808244,-0.022159046380656956,-0.0090065648922026398,-4.0626254211174707e-05,-0.035154525829668999,-0.00015730841342078704,0.05866368655748988,0.00027784390698899151,-0.039771166875078319,-0.00018836484780501898,0.02106421482985504,0.00010128881906909752,0.0012620854819684754,5.7011764765896005e-06,0.0027305210664290962,1.307604893810526e-05,-0.0088960194445446856,-3.9631962196009291e-05,-0.0012626427262077474,-5.7036936973278479e-06,0.0025907431484472943,1.1771922787143779e-05,1.2663918433800585,0.0060982069242166165,0.020778884217117561,9.8555338786921457e-05,-0.863897328791429,-0.0041600273247078025
403,5.0528021766607729,0.02258371673061426,-0.037334304439927107,-0.00017673334357160082,-5.0237608925930246,-0.022453915461942239,-0.0090843197551956998,-4.1174101384449646e-05,-0.035457490941527774,-0.00015941649476550838,0.059193061727441793,0.0002817738011225609,-0.040130057859589605,-0.00019102912761011454,0.021256664009911819,0.00010274261895685148,0.001273006654426937,5.7781893922276846e-06,0.0027553001833639321,1.326283758450319e-05,-0.0089721395716031455,-4.0160266484002157e-05,-0.001273568720653726,-5.7807406162123083e-06,0.0026133754066989721,1.1932055402973798e-05,1.2779887539265447,0.0061858802007624175,0.020966829479241621,9.9951697045141854e-05,-0.87180841894548577,-0.0042198355979608552
404,5.0959133094326434,0.022884140982671157,-0.037668081722641779,-0.00017921698233727961,-5.0666242415392988,-0.022752613007561845,-0.0091627107758070619,-4.1729204624636625e-05,-0.035762916151189213,-0.00016155216617445392,0.059727100439160324,0.00028575938400465545,-0.040492110501826724,-0.00019373116171673166,0.021450845951302901,0.00010421746750908048,0.0012840174571862345,5.8562242936639576e-06,0.0027803005605047276,1.3452317205504121e-05,-0.0090488718714890233,-4.0695443792070884e-05,-0.0012845843849746967,-5.8588099721288107e-06,0.0026361957649200097,1.2094329719027866e-05,1.2896903820748959,0.0062748250982857341,0.021156435383911851,0.00010136787890138692,-0.87979094453795148,-0.0042805113357127101
405,5.1393703662390848,0.023188468443680974,-0.038004769975557462,-0.00018173561184304791,-5.1098315263009768,-0.023055191328206406,-0.0092417438198278169,-4.2291665769516799e-05,-0.036070823736704075,-0.00016371580740108529,0.06026585009346213,0.00028980150690181567,-0.040857356937270731,-0.00019647152724277121,0.021646778813149786,0.0001057136956652083,0.0012951187189658132,5.9352955495175164e-06,0.0028055245016943568,1.3644529938355727e-05,-0.0091262218400599872,-4.1237588204787169e-05,-0.0012956905482560074,-5.9379161400405856e-06,0.0026592059817217824,1.225877605969643e-05,1.3014978278327161,0.0063650616402260015,0.021347718852149301,0.00010280418786793298,-0.88784565596344966,-0.0043420681973974076
406,5.183176450546199,0.023496752533231278,-0.038344398593216714,-0.00018428976497724927,-5.1533858325067934,-0.023361703536431223,-0.0093214248209272758,-4.2861588268126928e-05,-0.036381236226954973,-0.00016590780405012246,0.060809358698366178,0.00029390103589415999,-0.041225829713056765,-0.00019925081134902948,0.021844480995309588,0.00010723164031434583,0.001306311278088757,6.0154177560262856e-06,0.0028309743412305998,1.3839518675951505e-05,-0.0092041950347710091,-4.1786795250859904e-05,-0.0013068880491908827,-6.0180737226301766e-06,0.0026824078362137609,1.242542523209825e-05,1.3134122058075253,0.0064566102103734901,0.021540697022010016,0.00010426093274451493,-0.89597331357625976,-0.0044045200882702994
407,5.227334700638548,0.023809047491619353,-0.038686997346224702,-0.00018687998389168984,-5.1972902804038403,-0.023672203560784214,-0.0094017597816229877,-4.3439077210137178e-05,-0.036694176405125012,-0.0001681285476809456,0.061357674878706442,0.0002980588521734661,-0.041597561794490943,-0.00020206961144128327,0.022043971142326646,0.00010877164441927104,0.0013175959826191169,6.0966057412002409e-06,0.0028566524443655629,1.4037327082556751e-05,-0.0092827970755245022,-4.2343161928599962e-05,-0.0013181777362178181,-6.0992975544545242e-06,0.0027058031282973607,1.2594308534913074e-05,1.3254346454465318,0.006549491560382841,0.021735387252022939,0.00010573842772479246,-0.90417468785388666,-0.0044678811645335942
408,5.2718482901006407,0.024125408394348676,-0.03903259638721171,-0.00018950682018821087,-5.2415480253362556,-0.023986746160219074,-0.0094827547742673615,-4.4024239355843323e-05,-0.037009667312223556,-0.00017037843591308563,0.06191084788592726,0.00030227585234814417,-0.041972586571691201,-0.00020492853537704714,0.022245268147461913,0.00011033405714338111,0.0013289736905015999,6.1788745690615867e-06,0.002882561207814948,1.4237999609911234e-05,-0.0093620336455344632,-4.2906786731899698e-05,-0.0013295604676603246,-6.1816027061869949e-06,0.0027293936789648354,1.2765457767399477e-05,1.3375662912811381,0.0066437268174668199,0.021931807124693073,0.00010723699250527747,-0.91245055956385268,-0.004532165838584826
409,5.3167204283064304,0.024445891166919261,-0.039381226256909596,-0.00019217083510958812,-5.2861622582319221,-0.024305386938800654,-0.009564415942051336,-4.4617183166789316e-05,-0.037327732250671077,-0.0001726578725338582,0.062468927608065668,0.0003065529487552898,-0.042350937866354771,-0.00020782820167713017,0.022448391156802444,0.00011191923398070078,0.0013404452697036674,6.2622395439740463e-06,0.0029087030602774283,1.4441581513719332e-05,-0.0094419104922050627,-4.3477769676738817e-05,-0.0013410371118690949,-6.2650044889485993e-06,0.0027531813306033433,1.2938905238602526e-05,1.3498083031762993,0.0067393374922753583,0.022129974450071765,0.00010875695239679197,-0.92080171993380167,-0.0045973887843916974
