label,kind,m_1based,n_1based,ell_1based,diagonal_z,numerator_real_min_nm,numerator_real_max_nm,numerator_imag_abs_max_nm,one_photon_denominator,two_photon_denominator,one_photon_resonance_min_nm,one_photon_resonance_max_nm,two_photon_resonance_min_nm,two_photon_resonance_max_nm,max_abs_Re_pm_per_V,max_abs_Im_pm_per_V,l2_complex_pm_per_V
C_m1_n1_l1,C,1,1,1,True,12.277453780429905,12.277453780429905,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,739.6567774656148,830.2405637775416,1479.3135549312296,1660.4811275550833,906.4345777701201,752.796699719906,13654.611472213664
C_m1_n1_l2,C,1,1,2,False,-0.08411499545630838,-0.08411499545630838,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,698.6792950480752,768.5523177947716,1479.3135549312296,1660.4811275550833,5.483680724207014,4.5523272073736205,82.11336807587921
V_m1_n1_l1,V,1,1,1,True,-12.206888377233822,-12.206888377233822,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,739.6567774656148,830.2405637775416,1479.3135549312296,1660.4811275550833,901.2247905784816,748.4699554624694,13576.1307724485
V_m1_n1_l2,V,1,1,2,False,-0.021672181284657272,-0.021672181284657272,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,726.7146801757556,811.2202203175302,1479.3135549312296,1660.4811275550833,1.5445691576081295,1.286140248212158,23.27847723987217
C_m1_n2_l1,C,1,2,1,False,-0.08411499545630839,-0.08411499545630839,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,739.6567774656148,830.2405637775416,1397.3585900961505,1537.1046355895432,7.2227293476722085,6.267530879718055,100.40218599870296
C_m1_n2_l2,C,1,2,2,True,0.13020412090417752,0.13020412090417752,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,698.6792950480752,768.5523177947716,1397.3585900961505,1537.1046355895432,9.790520681138165,8.473948863346582,135.23490752002104
V_m1_n2_l1,V,1,2,1,True,-0.08827215137985164,-0.08827215137985164,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,698.6792950480752,768.5523177947716,1397.3585900961505,1537.1046355895432,6.637503618560723,5.744931048695033,91.68278350600598
V_m1_n2_l2,V,1,2,2,False,0.04584114672203319,0.04584114672203319,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,687.1202722309905,752.2256625744044,1397.3585900961505,1537.1046355895432,3.3350418165889524,2.893976602764769,46.08295994886731
C_m2_n1_l1,C,2,1,1,True,0.0030190533824639557,0.0030190533824639557,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,726.7146801757556,811.2202203175302,1453.4293603515111,1622.4404406350604,0.22130702001589977,0.18593302826023098,3.2583609179724706
C_m2_n1_l2,C,2,1,2,False,0.006050204025783234,0.006050204025783234,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,687.1202722309905,752.2256625744044,1453.4293603515111,1622.4404406350604,0.38851227265198174,0.3234185786320127,5.739217881718112
V_m2_n1_l1,V,2,1,1,False,-0.021672181284657272,-0.021672181284657272,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,739.6567774656148,830.2405637775416,1453.4293603515111,1622.4404406350604,1.6433439224913926,1.3837394423076257,24.235414684261663
V_m2_n1_l2,V,2,1,2,True,-0.0030203863746657285,-0.0030203863746657285,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,726.7146801757556,811.2202203175302,1453.4293603515111,1622.4404406350604,0.22140473293929228,0.18601512262734693,3.2597995708030063
C_m2_n2_l1,C,2,2,1,False,0.006050204025783234,0.006050204025783234,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,726.7146801757556,811.2202203175302,1374.240544461981,1504.4513251488088,0.531285770530312,0.4643573190102811,6.994796718758954
C_m2_n2_l2,C,2,2,2,True,2.739399891298056,2.739399891298056,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,687.1202722309905,752.2256625744044,1374.240544461981,1504.4513251488088,208.74143388119685,180.53312657648308,2759.821909083602
V_m2_n2_l1,V,2,2,1,False,0.04584114672203319,0.04584114672203319,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,698.6792950480752,768.5523177947716,1374.240544461981,1504.4513251488088,3.604247360304076,3.123333581560851,47.74513294306582
V_m2_n2_l2,V,2,2,2,True,-1.8687424914767783,-1.8687424914767783,0.0,E_transition_one(k)-hc/lambda+i*0.005 eV,E_transition_two(k)-2hc/lambda+i*0.005 eV,687.1202722309905,752.2256625744044,1374.240544461981,1504.4513251488088,142.397606302285,123.15468282827737,1882.6738245832646
