series,nominal_wavelength_nm,digitized_wavelength_nm,normalized_sh_arb,x_px,y_px,hidden_edge
80pd_sample,1400,1400.08,38.84,2943.0,689.0,none
80pd_sample,1500,1499.93,66.19,3200.0,594.0,none
80pd_sample,1530,1529.85,136.72,3277.0,349.0,none
80pd_sample,1540,1539.95,165.23,3303.0,250.0,none
80pd_sample,1550,1550.06,182.21,3329.0,191.0,none
80pd_sample,1560,1560.16,199.78,3355.0,130.0,none
80pd_sample,1570,1569.87,177.90,3380.0,206.0,none
80pd_sample,1580,1579.97,150.83,3406.0,300.0,none
80pd_sample,1600,1600.18,103.04,3458.0,466.0,none
80pd_sample,1700,1700.03,105.63,3715.0,457.0,none
80pd_sample,1800,1799.88,47.47,3972.0,659.0,none
AlGaAs_control,1400,1400.08,34.80,2943.0,703.0,top
AlGaAs_control,1500,1499.93,32.79,3200.0,710.0,none
AlGaAs_control,1530,1529.85,43.73,3277.0,672.0,none
AlGaAs_control,1540,1539.95,46.32,3303.0,663.0,none
AlGaAs_control,1550,1550.06,46.03,3329.0,664.0,none
AlGaAs_control,1560,1560.16,50.06,3355.0,650.0,none
AlGaAs_control,1570,1569.87,45.46,3380.0,666.0,none
AlGaAs_control,1580,1579.97,44.31,3406.0,670.0,none
AlGaAs_control,1600,1600.18,40.85,3458.0,682.0,none
AlGaAs_control,1700,1700.03,13.79,3715.0,776.0,none
AlGaAs_control,1800,1799.88,9.18,3972.0,792.0,none
GaAs_control,1400,1400.08,26.46,2943.0,732.0,none
GaAs_control,1500,1499.93,14.94,3200.0,772.0,none
GaAs_control,1530,1529.85,13.21,3277.0,778.0,none
GaAs_control,1540,1539.95,13.50,3303.0,777.0,none
GaAs_control,1550,1550.06,13.21,3329.0,778.0,none
GaAs_control,1560,1560.16,13.50,3355.0,777.0,none
GaAs_control,1570,1569.87,12.06,3380.0,782.0,none
GaAs_control,1580,1579.97,11.77,3406.0,783.0,none
GaAs_control,1600,1600.18,11.77,3458.0,783.0,none
GaAs_control,1700,1700.03,5.73,3715.0,804.0,none
GaAs_control,1800,1799.88,4.29,3972.0,809.0,top
