wavelength_nm,simulated_abs_chi2_pm_per_V
401.55,106.2
401.94,106.2
402.33,106.2
402.72,106.2
403.11,106.2
403.49,111.4
403.88,111.4
404.27,111.4
404.66,111.4
405.05,111.4
405.44,111.4
405.83,111.4
406.21,111.4
406.60,111.4
406.99,114.0
407.38,114.0
407.77,114.0
408.16,114.0
413.98,129.5
414.37,129.5
414.76,129.5
415.15,132.1
415.54,132.1
415.93,132.1
416.32,132.1
416.70,132.1
417.09,132.1
417.48,132.1
417.87,132.1
418.26,132.1
418.65,132.1
419.04,132.1
419.42,132.1
419.81,137.3
420.20,137.3
420.59,137.3
420.98,137.3
421.37,137.3
421.75,137.3
422.14,139.9
422.53,139.9
422.92,139.9
423.31,139.9
429.14,150.3
429.53,150.3
429.91,150.3
430.30,152.8
430.69,152.8
431.08,152.8
431.47,152.8
431.86,152.8
432.25,152.8
432.63,158.0
433.02,158.0
433.41,158.0
433.80,158.0
434.19,158.0
434.58,158.0
434.97,163.2
435.35,163.2
435.74,163.2
436.13,163.2
436.52,163.2
436.91,163.2
437.30,165.8
437.68,165.8
438.07,165.8
438.46,165.8
444.29,181.3
444.68,181.3
445.07,181.3
445.46,183.9
445.84,183.9
446.23,183.9
446.62,183.9
447.01,183.9
447.40,183.9
447.79,189.1
448.18,189.1
448.56,189.1
448.95,189.1
449.34,189.1
449.73,189.1
450.12,194.3
450.51,194.3
450.89,194.3
451.28,194.3
451.67,194.3
452.06,196.9
452.45,196.9
452.84,196.9
453.23,196.9
459.05,217.6
459.44,217.6
459.83,217.6
460.22,220.2
460.61,220.2
461.00,220.2
461.39,220.2
461.77,220.2
462.16,225.4
462.55,225.4
462.94,225.4
463.33,225.4
463.72,230.6
464.11,230.6
464.49,230.6
464.88,230.6
465.27,235.8
465.66,235.8
466.05,235.8
466.44,235.8
466.82,238.3
467.21,238.3
467.60,238.3
467.99,238.3
473.82,269.4
474.21,269.4
474.60,269.4
474.98,272.0
475.37,272.0
475.76,272.0
476.15,272.0
476.54,277.2
476.93,277.2
477.32,277.2
477.70,282.4
478.09,282.4
478.48,282.4
478.87,287.6
479.26,287.6
479.65,287.6
480.03,292.7
480.42,292.7
480.81,292.7
481.20,292.7
481.59,295.3
481.98,295.3
482.37,295.3
482.75,295.3
488.19,334.2
488.58,331.6
488.97,334.2
489.36,334.2
489.75,336.8
490.14,336.8
490.53,342.0
490.91,342.0
491.30,347.2
491.69,347.2
492.08,352.3
492.47,352.3
492.86,357.5
493.25,357.5
493.63,362.7
494.02,362.7
494.41,367.9
494.80,367.9
495.19,370.5
495.58,370.5
495.96,373.1
496.35,373.1
496.74,373.1
501.40,427.5
501.79,424.9
502.18,427.5
502.57,427.5
502.96,430.1
503.35,432.6
503.74,435.2
504.12,437.8
504.51,440.4
504.90,443.0
505.29,448.2
505.68,450.8
506.07,453.4
506.46,456.0
506.84,458.5
507.23,463.7
507.62,466.3
508.01,466.3
508.40,468.9
508.79,468.9
509.17,471.5
509.56,471.5
513.06,546.6
513.45,546.6
513.84,549.2
514.23,551.8
514.61,554.4
515.00,557.0
515.39,562.2
515.78,567.4
516.17,572.5
516.56,577.7
516.95,582.9
517.33,588.1
517.72,593.3
518.11,595.9
518.50,598.4
518.89,601.0
519.28,603.6
519.67,606.2
520.05,606.2
522.00,707.3
522.39,707.3
522.77,712.4
523.16,717.6
523.55,722.8
523.94,725.4
