z_nm,al_fraction,E_c_eV,E_v_eV
0.000,0.5500,1.92680,-0.27166
0.080,0.5500,1.92680,-0.27166
0.160,0.5500,1.92680,-0.27166
0.240,0.5500,1.92680,-0.27166
0.320,0.5500,1.92680,-0.27166
0.400,0.5500,1.92680,-0.27166
0.480,0.5500,1.92680,-0.27166
0.560,0.5500,1.92680,-0.27166
0.640,0.5500,1.92680,-0.27166
0.720,0.5500,1.92680,-0.27166
0.800,0.5500,1.92680,-0.27166
0.880,0.5500,1.92680,-0.27166
0.960,0.5500,1.92680,-0.27166
1.040,0.5500,1.92680,-0.27166
1.120,0.5500,1.92680,-0.27166
1.200,0.5500,1.92680,-0.27166
1.280,0.5500,1.92680,-0.27166
1.360,0.5500,1.92680,-0.27166
1.440,0.5500,1.92680,-0.27166
1.520,0.5500,1.92680,-0.27166
1.600,0.5500,1.92680,-0.27166
1.680,0.5500,1.92680,-0.27166
1.760,0.5500,1.92680,-0.27166
1.840,0.5500,1.92680,-0.27166
1.920,0.5500,1.92680,-0.27166
2.000,0.5500,1.92680,-0.27166
2.080,0.5500,1.92680,-0.27166
2.160,0.5500,1.92680,-0.27166
2.240,0.5500,1.92680,-0.27166
2.320,0.5500,1.92680,-0.27166
2.400,0.5500,1.92680,-0.27166
2.480,0.5500,1.92680,-0.27166
2.560,0.5500,1.92680,-0.27166
2.640,0.5500,1.92680,-0.27166
2.720,0.5500,1.92680,-0.27166
2.800,0.5500,1.92680,-0.27166
2.880,0.5500,1.92680,-0.27166
2.960,0.5500,1.92680,-0.27166
3.040,0.5500,1.92680,-0.27166
3.120,0.5500,1.92680,-0.27166
3.200,0.5500,1.92680,-0.27166
3.280,0.5500,1.92680,-0.27166
3.360,0.5500,1.92680,-0.27166
3.440,0.5500,1.92680,-0.27166
3.520,0.5500,1.92680,-0.27166
3.600,0.5500,1.92680,-0.27166
3.680,0.5500,1.92680,-0.27166
3.760,0.5500,1.92680,-0.27166
3.840,0.5500,1.92680,-0.27166
3.920,0.5500,1.92680,-0.27166
4.000,0.5500,1.92680,-0.27166
4.080,0.5500,1.92680,-0.27166
4.160,0.5500,1.92680,-0.27166
4.240,0.5500,1.92680,-0.27166
4.320,0.5500,1.92680,-0.27166
4.400,0.5500,1.92680,-0.27166
4.480,0.5500,1.92680,-0.27166
4.560,0.5500,1.92680,-0.27166
4.640,0.5500,1.92680,-0.27166
4.720,0.5500,1.92680,-0.27166
4.800,0.5500,1.92680,-0.27166
4.880,0.5500,1.92680,-0.27166
4.960,0.5500,1.92680,-0.27166
5.040,0.5500,1.92680,-0.27166
5.120,0.5500,1.92680,-0.27166
5.200,0.5500,1.92680,-0.27166
5.280,0.5500,1.92680,-0.27166
5.360,0.5500,1.92680,-0.27166
5.440,0.5500,1.92680,-0.27166
5.520,0.5500,1.92680,-0.27166
5.600,0.5500,1.92680,-0.27166
5.680,0.5500,1.92680,-0.27166
5.760,0.5500,1.92680,-0.27166
5.840,0.5500,1.92680,-0.27166
5.920,0.5500,1.92680,-0.27166
6.000,0.5500,1.92680,-0.27166
6.080,0.5500,1.92680,-0.27166
6.160,0.5500,1.92680,-0.27166
6.240,0.5500,1.92680,-0.27166
6.320,0.5500,1.92680,-0.27166
6.400,0.5500,1.92680,-0.27166
6.480,0.5500,1.92680,-0.27166
